,,,,,
158,Thu Feb 18 13:52:42 2021 +0000,Jordan,Add README.md,,
157,Thu Feb 18 14:08:46 2021 +0000,Jordan,Update README.md (setup test),,
156,Thu Feb 18 14:18:05 2021 +0000,Jordan,Local setup test,,
155,Thu Feb 18 14:25:00 2021 +0000,Jordan,testing branch,,
154,Thu Feb 18 14:46:58 2021 +0000,Jordan,Initial Project Admin Class Setup,,
153,Thu Feb 18 15:23:48 2021 +0000,Jordan,Admin : Basic game loop added Player : Class created,,
152,Fri Feb 19 13:31:41 2021 +0000,David Finlay,Added balanceOfResources attribute to Player Class,,
151,Fri Feb 19 14:56:29 2021 +0000,Jordan,Dice class added,,
150,Fri Feb 19 15:48:37 2021 +0000,Jordan,Square & StandardSquare class added,,
149,Fri Feb 19 16:24:43 2021 +0000,Jordan,Resource Square created,,
148,Fri Feb 19 16:45:05 2021 +0000,Jordan,squareElement var added & constructors updated,,
147,Sat Feb 20 13:58:02 2021 +0000,Joseph,Update README.md,,
146,Sat Feb 20 14:07:32 2021 +0000,Joseph,Testing on local machine JSM,,
145,Sat Feb 20 14:23:05 2021 +0000,Joseph,Testing eclipse integration JSM,,
144,Tue Feb 23 12:31:07 2021 +0000,Jordan,Square and Element ENUM created Board class created,,
143,Tue Feb 23 13:19:57 2021 +0000,Jordan,buildGameBoard added to Board class minor update to all square class,,
142,Tue Feb 23 14:03:50 2021 +0000,Jordan,Board class test added,,
141,Tue Feb 23 14:47:43 2021 +0000,Jordan,refactor of ElementType to SystemType,,
140,Tue Feb 23 15:41:03 2021 +0000,Jordan,added Rent increase method,,
139,Tue Feb 23 23:35:48 2021 +0000,Andrew,-- Admin:,,
,,,,,
138,Sun Mar 7 15:13:31 2021 +0000,Jordan,GameLauncher added: Game starting menus created,,
137,Mon Mar 8 21:22:05 2021 +0000,Jordan,Dice class = refactor of class from Dice to Die,,
136,Tue Mar 9 19:36:17 2021 +0000,Jordan,Updates to dice roll methods and test class,,
135,Tue Mar 9 21:50:52 2021 +0000,Jordan,TurnLauncher - modifyPlayer method added,,
,,,,,
134,Wed Mar 10 16:15:54 2021 +0000,David,Add GameHistoryItem Class, GameHistoryStorage Class, GameHistoryAction enum and test module
133,Wed Mar 10 19:43:12 2021 +0000,Joseph,Added turn menu Added display all method to standard square,,
132,Wed Mar 10 20:28:59 2021 +0000,David,ADded ModifyGameResources Class with static methods modifyResourceSinglePlayer and modifyResourceAllPlayers,,
131,Wed Mar 10 20:33:16 2021 +0000,David,Merge branch 'master' of gitlab2.eeecs.qub.ac.uk:CSC7053-2021/csc7053-2021-g19,,
130,Thu Mar 11 09:37:22 2021 +0000,David,Added User-defined BankruptException on ModifyResources class to catch cases when forfeit of resources cause a negative balance for aplayer - this is a game-over state,,
129,Thu Mar 11 12:50:05 2021 +0000,Andrew,AP - ChangeLog,,
128,Thu Mar 11 12:57:54 2021 +0000,Andrew,Merge branch 'master' into 'AP_branch',,
127,Thu Mar 11 13:00:06 2021 +0000,Andrew,Merge branch 'AP_branch' into 'master',,
126,Thu Mar 11 13:04:52 2021 +0000,Andrew,Fixed a typ-o in Admin,,
125,Thu Mar 11 13:05:30 2021 +0000,Andrew,Merge branch 'AP_branch' into 'master',,
,,,,,
124,Thu Mar 11 18:28:33 2021 +0000,Jordan,Added final score calculation & message,,
123,Thu Mar 11 22:46:27 2021 +0000,Jordan,End sequence updated,,
122,Thu Mar 11 23:07:09 2021 +0000,Andrew,AP changelog,,
